Id_sensora,Id_stacji,longitude,latitude,parametr,wartosc,data_pomiaru
3502,515,21.147474,51.399084,SO2,3.3,2024-01-28_21:00:00
3497,515,21.147474,51.399084,PM10,41.9,2024-01-28_21:00:00
14377,515,21.147474,51.399084,PM2.5,34.7,2024-01-28_21:00:00
3486,515,21.147474,51.399084,C6H6,3.7,2024-01-28_21:00:00
3487,515,21.147474,51.399084,CO,777.0,2024-01-28_21:00:00
3492,515,21.147474,51.399084,NO2,38.1,2024-01-28_21:00:00
3205,460,20.791912,51.835242,SO2,0.960861,2024-01-28_21:00:00
3204,460,20.791912,51.835242,PM10,38.46,2024-01-28_20:00:00
16051,485,21.237297,52.115725,SO2,5.6,2024-01-28_21:00:00
17225,485,21.237297,52.115725,PM10,26.8,2024-01-28_21:00:00
16044,485,21.237297,52.115725,PM2.5,26.0,2024-01-28_21:00:00
16045,485,21.237297,52.115725,C6H6,1.0,2024-01-28_21:00:00
16046,485,21.237297,52.115725,CO,869.0,2024-01-28_21:00:00
16048,485,21.237297,52.115725,NO2,31.3,2024-01-28_21:00:00
28895,9798,17.591539,53.136681,SO2,7.3,2024-01-28_21:00:00
25983,9798,17.591539,53.136681,PM10,36.4,2024-01-28_21:00:00
25984,9798,17.591539,53.136681,PM2.5,33.1,2024-01-28_21:00:00
15820,9798,17.591539,53.136681,C6H6,2.6,2024-01-28_21:00:00
28894,9798,17.591539,53.136681,CO,1045.0,2024-01-28_21:00:00
21167,9798,17.591539,53.136681,NO2,33.4,2024-01-28_21:00:00
1902,266,22.569133,51.259431,SO2,0.7,2024-01-28_21:00:00
1900,266,22.569133,51.259431,PM10,25.8,2024-01-28_21:00:00
16472,266,22.569133,51.259431,PM2.5,25.1,2024-01-28_21:00:00
1885,266,22.569133,51.259431,C6H6,1.6,2024-01-28_21:00:00
1888,266,22.569133,51.259431,CO,430.0,2024-01-28_21:00:00
1895,266,22.569133,51.259431,NO2,23.5,2024-01-28_21:00:00
14348,236,23.149389,52.029194,SO2,0.99,2024-01-28_10:00:00
20419,236,23.149389,52.029194,PM10,58.67,2024-01-28_21:00:00
2008,285,23.290247,50.716628,SO2,11.7,2024-01-28_21:00:00
16744,285,23.290247,50.716628,PM10,68.1,2024-01-28_21:00:00
26316,285,23.290247,50.716628,PM2.5,61.3,2024-01-28_21:00:00
18041,10874,22.982861,50.551894,SO2,2.21029,2024-01-28_21:00:00
2425,361,15.228667,52.738214,SO2,3.53115,2024-01-28_21:00:00
2421,361,15.228667,52.738214,PM10,24.8145,2024-01-28_21:00:00
26165,361,15.228667,52.738214,PM2.5,21.1235,2024-01-28_21:00:00
2410,361,15.228667,52.738214,C6H6,2.00556,2024-01-28_21:00:00
